IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Year,Industry,Price_1W,Price_1M,Price_6M,Price_1Y,Return_1W_pct,Return_1M_pct,Return_6M_pct,Return_1Y_pct,Market Cap Size,Success_Q2
2019-06-20,GO,Grocery Outlet Holding Corp.,22.0,16.3,-25.55,1600.0,2019,Grocery Stores,32.71,37.65,31.21,35.02,48.68,71.14,41.86,59.18,Mid Cap,1
2019-06-20,PSNL,"Personalis, Inc.",17.0,4.26,-74.71,375.56,2019,Diagnostics & Research,27.93,22.42,10.26,12.45,64.29,31.88,-39.65,-26.76,Mid Cap,0
2019-06-19,STOK,"Stoke Therapeutics, Inc.",18.0,9.71,-46.11,530.14,2019,Biotechnology,26.41,23.45,24.98,23.2,46.72,30.28,38.78,28.89,Mid Cap,1
2019-06-14,CHWY,"Chewy, Inc.",22.0,37.85,72.27,15650.0,2019,Internet Retail,32.28,33.09,26.88,48.13,46.73,50.41,22.18,118.77,Large Cap,1
2019-06-13,FVRR,Fiverr International Ltd.,21.0,26.24,26.95,942.26,2019,Internet Content & Information,28.03,23.48,21.54,60.08,33.48,11.81,2.57,186.1,Mid Cap,1
2019-06-12,CRWD,"CrowdStrike Holdings, Inc.",34.0,443.47,,109920.0,2019,Software - Infrastructure,77.22,73.5,49.0,95.04,127.12,116.18,44.12,179.53,Large Cap,1
2019-06-07,RVLV,"Revolve Group, Inc.",18.0,19.12,8.17,1360.0,2019,Internet Retail,42.01,37.3,17.59,17.46,133.39,107.22,-2.28,-3.0,Mid Cap,0
2019-06-06,GOTU,Gaotu Techedu Inc.,10.5,3.4,-68.1,838.3,2019,Education & Training Services,9.56,10.6,18.17,40.52,-8.95,0.95,73.05,285.9,Mid Cap,1
2019-05-23,BCYC,Bicycle Therapeutics plc,14.0,9.08,-35.14,628.36,2019,Biotechnology,11.93,11.64,9.68,15.4,-14.79,-16.86,-30.86,10.0,Mid Cap,1
2019-05-23,IDYA,"IDEAYA Biosciences, Inc.",10.0,20.5,108.3,1790.0,2019,Biotechnology,11.54,9.58,8.2,6.99,15.4,-4.2,-18.0,-30.1,Mid Cap,0
2019-05-17,AVTR,"Avantor, Inc.",14.0,12.64,-9.43,8610.0,2019,Medical Instruments & Supplies,17.32,18.62,15.61,17.86,23.71,33.0,11.5,27.57,Large Cap,1
2019-05-17,FSLY,"Fastly, Inc.",16.0,5.8,-63.38,839.18,2019,Software - Application,21.5,19.28,20.79,39.5,34.38,20.5,29.94,146.88,Mid Cap,1
2019-05-15,PSTL,"Postal Realty Trust, Inc.",17.0,12.66,-25.12,387.14,2019,REIT - Office,11.97,10.79,11.78,11.15,-29.59,-36.53,-30.71,-34.41,Mid Cap,0
2019-05-14,APLT,"Applied Therapeutics, Inc.",10.0,0.44,-95.4,61.98,2019,Biotechnology,10.05,9.76,14.92,44.25,0.5,-2.4,49.2,342.5,Small Cap,1
2019-05-10,JFIN,Jiayin Group Inc.,10.5,12.43,17.43,663.38,2019,Internet Content & Information,11.09,8.63,6.73,1.71,5.62,-17.81,-35.9,-83.71,Mid Cap,0
2019-05-10,UBER,"Uber Technologies, Inc.",45.0,85.42,90.27,178640.0,2019,Software - Application,41.91,42.61,26.94,32.79,-6.87,-5.31,-40.13,-27.13,Large Cap,0
2019-05-09,MEC,"Mayville Engineering Company, Inc.",17.0,13.34,-21.24,272.4,2019,Metal Fabrication,16.95,14.36,9.79,6.13,-0.29,-15.53,-42.41,-63.94,Small Cap,0
2019-05-09,NXTC,"NextCure, Inc.",15.0,0.45,-96.87,12.58,2019,Biotechnology,20.18,16.57,92.22,37.98,34.53,10.47,514.8,153.2,Small Cap,1
2019-05-09,QNCX,"Quince Therapeutics, Inc.",17.0,1.09,-93.77,47.96,2019,Biotechnology,25.15,24.97,21.03,46.05,47.94,46.88,23.71,170.88,Small Cap,1
2019-05-09,SPFI,"South Plains Financial, Inc.",17.5,33.84,95.94,549.41,2019,Banks - Regional,16.4,15.96,15.66,11.89,-6.29,-8.8,-10.51,-32.06,Mid Cap,0
2019-05-08,PSN,Parsons Corporation,27.0,61.13,126.48,6530.0,2019,Information Technology Services,32.45,32.39,36.7,37.57,20.19,19.96,35.93,39.15,Large Cap,1
